State,City,Incidents,Population,Incidents per 100k residents
Oregon,Portland,46,609456,7.54771
Minnesota,Minneapolis,27,400070,6.74882
Virginia,Richmond,13,214114,6.07153
Washington DC,DC,24,646449,3.71259
Washington,Seattle,23,652405,3.52542
Colorado,Denver,20,649495,3.07932
Ohio,Columbus,24,822553,2.91775
Kentucky,Louisville,11,609893,1.8036
Texas,Austin,14,885400,1.58121
California,Los Angeles,38,3884307,0.9783
Pennsylvania,Philadelphia,12,1553165,0.77262
New York,New York City,50,8405837,0.59482
Illinois,Chicago,14,2718782,0.51494
