State,City,Incidents,Population,Incidents per 100k residents
Bethel,Ohio,1,2798,35.73981
St. Johnsbury,Vermont,1,7603,13.1527
Clayton,California,1,11076,9.02853
East Meadow,New York,1,11554,8.65501
Merrick,New York,1,11566,8.64603
Portland,Oregon,46,609456,7.54771
Minneapolis,Minnesota,27,400070,6.74882
Asbury Park,New Jersey,1,15511,6.44704
Richmond,Virginia,13,214114,6.07153
Dover,Delaware,2,37366,5.35246
Walnut Creek,California,3,66900,4.4843
Fairfax,Virginia,1,22549,4.43479
Murfreesboro,Tennessee,5,117044,4.2719
Fredericksburg,Virginia,1,25691,3.89241
Florissant,Missouri,2,52363,3.81949
Norco,California,1,26610,3.75799
DC,Washington DC,24,646449,3.71259
Valdosta,Georgia,2,56481,3.54101
Seattle,Washington,23,652405,3.52542
Asheville,North Carolina,3,87236,3.43895
La Mesa,California,2,58642,3.41052
Des Moines,Iowa,7,207510,3.37333
Lawrenceville,Georgia,1,29795,3.35627
Denver,Colorado,20,649495,3.07932
Columbus,Ohio,24,822553,2.91775
Waterbury,Connecticut,3,109676,2.73533
Huntsville,Alabama,5,186254,2.68451
Kalamazoo,Michigan,2,75548,2.64732
Bentonville,Arkansas,1,40167,2.48961
Manassas,Virginia,1,41705,2.39779
Charleston,South Carolina,3,127999,2.34377
Worcester,Massachusetts,4,182544,2.19125
Beavercreek,Ohio,1,45712,2.18761
Santa Monica,California,2,92472,2.16282
San Luis Obispo,California,1,46377,2.15624
Salt Lake City,Utah,4,191180,2.09227
Olympia,Washington,1,48338,2.06877
Harrisburg,Pennsylvania,1,49188,2.03302
Orlando,Florida,5,255483,1.95708
Fort Wayne,Indiana,5,256496,1.94935
Raleigh,North Carolina,8,431746,1.85294
Louisville,Kentucky,11,609893,1.8036
Fargo,North Dakota,2,113658,1.75966
Fort Lauderdale,Florida,3,172389,1.74025
Austin,Texas,14,885400,1.58121
Kansas City,Missouri,7,467007,1.49891
Lafayette,Indiana,1,70373,1.421
Tampa,Florida,5,352957,1.4166
Iowa City,Iowa,1,71591,1.39682
Canton,Ohio,1,72535,1.37864
Cincinnati,Ohio,4,297517,1.34446
Atlanta,Georgia,6,447841,1.33976
Baytown,Texas,1,75418,1.32594
Pittsburgh,Pennsylvania,4,305841,1.30787
Detroit,Michigan,9,688701,1.30681
Hoover,Alabama,1,84126,1.18869
Buffalo,New York,3,258959,1.15848
Grand Rapids,Michigan,2,192294,1.04007
Las Vegas,Nevada,6,603488,0.99422
Erie,Pennsylvania,1,100671,0.99333
Los Angeles,California,38,3884307,0.9783
Birmingham,Alabama,2,212113,0.94289
Wilmington,North Carolina,1,112067,0.89232
Costa Mesa,California,1,112174,0.89147
Vallejo,California,1,118837,0.84149
Athens,Georgia,1,119980,0.83347
Madison,Wisconsin,2,243344,0.82188
Philadelphia,Pennsylvania,12,1553165,0.77262
Cleveland,Ohio,3,390113,0.76901
Lincoln,Nebraska,2,268738,0.74422
Oakland,California,3,406253,0.73846
San Jose,California,7,998537,0.70103
Dayton,Ohio,1,143355,0.69757
Joliet,Illinois,1,147806,0.67656
Eugene,Oregon,1,159190,0.62818
Sacramento,California,3,479686,0.62541
Salem,Oregon,1,160614,0.62261
New York City,New York,50,8405837,0.59482
Chattanooga,Tennessee,1,173366,0.57681
Chicago,Illinois,14,2718782,0.51494
Little Rock,Arkansas,1,197357,0.5067
Oklahoma City,Oklahoma,3,610613,0.49131
Miami,Florida,2,417650,0.47887
Rochester,New York,1,210358,0.47538
Omaha,Nebraska,2,434353,0.46045
Long Beach,California,2,469428,0.42605
Dallas,Texas,5,1257676,0.39756
Charlotte,North Carolina,3,792862,0.37838
Indianapolis,Indiana,3,843393,0.35571
Toledo,Ohio,1,282313,0.35422
Riverside,California,1,316619,0.31584
St. Louis,Missouri,1,318416,0.31405
Boston,Massachusetts,2,645966,0.30961
Santa Ana,California,1,334227,0.2992
San Diego,California,4,1355896,0.29501
Aurora,Colorado,1,345803,0.28918
Phoenix,Arizona,4,1513367,0.26431
New Orleans,Louisiana,1,378715,0.26405
Tulsa,Oklahoma,1,398121,0.25118
Colorado Springs,Colorado,1,439886,0.22733
Houston,Texas,4,2195914,0.18216
Milwaukee,Wisconsin,1,599164,0.1669
Memphis,Tennessee,1,653450,0.15303
El Paso,Texas,1,674433,0.14827
San Antonio,Texas,2,1409019,0.14194
San Francisco,California,1,837442,0.11941
Jacksonville,Florida,1,842583,0.11868
