State,City,Incidents,Population,Incidents per 100k residents
Oregon,Portland,343,653115,52.51755
New York,New York City,98,8399000,1.16681
Washington,Seattle,63,744955,8.45689
California,Los Angeles,47,3990000,1.17794
Washington DC,DC,35,705749,4.95927
Minnesota,Minneapolis,29,425403,6.81707
Illinois,Chicago,29,2706000,1.07169
Colorado,Denver,26,619968,4.19376
Virginia,Richmond,23,227032,10.13073
Ohio,Columbus,23,892533,2.57694
Kentucky,Louisville,21,766757,2.73881
Texas,Austin,18,964254,1.86673
Pennsylvania,Philadelphia,14,1584000,0.88384
Michigan,Detroit,13,672662,1.93262
Iowa,Des Moines,12,216853,5.5337
California,San Jose,10,1003000,0.99701
