Date,Num Incidents
2020-05-30,2
2020-06-02,5
2020-06-03,1
2020-06-05,2
2020-06-06,4
2020-06-07,5
2020-06-08,1
2020-06-13,2
2020-06-14,1
2020-06-15,1
2020-06-16,1
2020-06-17,1
2020-06-19,1
2020-06-26,4
2020-06-27,1
2020-06-28,6
2020-06-29,2
2020-06-30,5
2020-07-02,2
2020-07-03,3
2020-07-04,1
2020-07-05,5
2020-07-06,1
2020-07-08,1
2020-07-11,4
2020-07-12,10
2020-07-13,2
2020-07-14,2
2020-07-15,3
2020-07-16,7
2020-07-17,5
2020-07-18,19
2020-07-19,4
2020-07-20,6
2020-07-21,9
2020-07-22,14
2020-07-23,4
2020-07-24,14
2020-07-25,9
2020-07-26,9
2020-07-27,9
